,fav_number,retweet_count,tweet_count,tweet_location,year,month,totalLettersName,link_hue,link_sat,link_vue,sidebar_hue,sidebar_sat,sidebar_vue,gender_catg
0,0.0,0.0,0.5422616429653521,1,0.7777777777777715,0.9999999999999999,0.2727272727272727,0.5004170141784821,0.9590000000000001,0.761,0.0,0.0,1.0,0
1,0.0016291717578284098,0.0,0.03650491130332796,0,0.6666666666666572,0.8181818181818182,0.6363636363636364,0.5448985265499028,1.0,0.706,0.5571030640668524,0.19,0.929,0
3,0.004839598457078512,0.0,0.00826858231930802,1,0.3333333333333144,0.4545454545454545,0.6363636363636364,0.5448985265499028,1.0,0.706,0.5571030640668524,0.19,0.929,0
4,0.89407987733295,0.0,0.15374578507550213,0,0.8888888888888857,0.2727272727272727,0.7272727272727272,0.5732554906866834,0.728,0.851,0.0,0.0,0.0,1
5,0.09346175040130333,0.0,0.09790842007525778,1,0.44444444444442865,0.1818181818181818,0.8181818181818182,0.9783152627189324,0.302,0.961,0.0,0.0,0.0,1
7,0.0019166726562687177,0.0,0.5478962029028002,0,0.6666666666666572,0.9999999999999999,0.5454545454545455,0.6672226855713095,1.0,1.0,0.5571030640668524,0.19,0.929,0
8,0.04372409497113012,0.0,0.0023505839808434736,0,1.0,0.7272727272727273,0.4545454545454546,0.7392271337225466,0.5,0.8,0.0,0.0,0.0,1
9,0.07463044155346318,0.0,0.12746909055368227,1,0.5555555555555429,0.36363636363636365,0.8181818181818182,0.7392271337225466,0.5,0.8,0.0,0.0,1.0,1
15,0.0,0.0,0.21707472022675073,0,1.0,0.8181818181818182,0.4545454545454546,0.5448985265499028,1.0,0.706,0.5571030640668524,0.19,0.929,1
16,0.042214715254318504,0.0,0.08124908371206567,0,0.5555555555555429,0.6363636363636364,0.7272727272727272,0.038087294968028915,0.943,0.34500000000000003,0.0,0.0,0.9329999999999999,1
17,0.00011979204101679485,0.0,0.00043981820847383083,1,0.3333333333333144,0.8181818181818182,0.5454545454545455,0.5448985265499028,1.0,0.706,0.5571030640668524,0.19,0.929,0
18,2.395840820335897e-05,0.0,5.864242779651078e-05,0,1.0,0.5454545454545454,1.0,0.5448985265499028,1.0,0.706,0.5571030640668524,0.19,0.929,0
20,0.44924411222118404,0.0,0.05018814445584714,1,0.7777777777777715,0.09090909090909091,0.4545454545454546,0.5732554906866834,0.728,0.851,0.0,0.0,0.0,1
21,0.1306691583411198,0.0,0.06573327469090554,1,0.5555555555555429,0.8181818181818182,0.6363636363636364,0.8532110091743119,0.858,0.831,0.5612813370473537,0.537,0.855,1
22,0.0031864682910467427,0.0,0.0019889556760983237,0,1.0,0.09090909090909091,0.36363636363636365,0.5448985265499028,1.0,0.706,0.5571030640668524,0.19,0.929,1
23,0.0687845899518436,0.0,0.010839075404388408,1,0.7777777777777715,0.0,0.6363636363636364,0.5732554906866834,0.728,0.851,0.5571030640668524,0.19,0.929,0
24,0.005462517070365845,0.0,0.0164638616038704,1,0.5555555555555429,0.2727272727272727,0.36363636363636365,0.5448985265499028,1.0,0.706,0.5571030640668524,0.19,0.929,0
25,0.025180287021730276,0.0,0.00046913942237208624,1,0.7777777777777715,0.6363636363636364,0.8181818181818182,0.5448985265499028,1.0,0.706,0.5571030640668524,0.19,0.929,1
28,0.09746280457126429,0.0,0.2989053413477985,0,0.44444444444442865,0.5454545454545454,1.0,0.10619961078676676,0.845,0.9329999999999999,0.10640668523676881,0.845,0.9329999999999999,1
31,0.002467716044945974,0.0,0.125944387430973,1,0.6666666666666572,0.9999999999999999,0.7272727272727272,0.9799833194328608,0.792,0.867,0.0,0.0,1.0,0
32,0.031673015644840555,0.0,0.024258417631823292,1,0.5555555555555429,0.9999999999999999,0.6363636363636364,0.9174311926605505,0.667,1.0,0.0,0.0,1.0,1
33,0.02158652579122643,0.0,0.34060010751111763,1,0.5555555555555429,0.9090909090909091,0.6363636363636364,0.5448985265499028,1.0,0.706,0.5571030640668524,0.19,0.929,0
35,0.0011739620019645895,0.0,0.14803792210330843,1,0.5555555555555429,0.36363636363636365,0.36363636363636365,0.5448985265499028,1.0,0.706,0.0,0.0,1.0,0
37,0.017920889336112508,0.0,0.287714411376631,0,0.3333333333333144,0.2727272727272727,0.36363636363636365,0.9452321378926885,0.75,0.8,0.5384401114206129,0.076,0.929,1
39,0.045520975586382045,0.0,0.04320969554806236,1,0.3333333333333144,0.36363636363636365,1.0,0.10508757297748124,0.9470000000000001,0.6709999999999999,0.0,0.0,1.0,0
41,0.0002875008984403076,0.0,0.1372086204368861,1,0.3333333333333144,0.4545454545454545,0.6363636363636364,0.5446205170975814,0.96,0.878,0.27743732590529246,0.214,0.863,0
44,0.004120846210977743,0.0,0.013952010946586522,0,0.7777777777777715,0.5454545454545454,0.36363636363636365,0.5448985265499028,1.0,0.706,0.5571030640668524,0.19,0.929,0
45,0.0020364646972855123,0.0,0.3595611591653228,1,0.3333333333333144,0.6363636363636364,0.09090909090909094,0.16680567139282737,0.079,0.349,0.0,0.0,1.0,0
46,0.013225041328254151,0.0,0.011093192591506621,1,0.3333333333333144,0.09090909090909091,0.9090909090909091,0.5448985265499028,1.0,0.706,0.27743732590529246,0.214,0.863,1
47,0.10927429981552025,0.0,0.18560817084493966,1,0.7777777777777715,0.8181818181818182,0.5454545454545455,0.5448985265499028,1.0,0.706,0.5571030640668524,0.19,0.929,0
51,0.0002875008984403076,0.0,0.6963495088696672,1,0.8888888888888857,0.1818181818181818,1.0,0.5448985265499028,1.0,0.706,0.5571030640668524,0.19,0.929,1
53,0.002491674453149333,0.0,0.04432390167619606,1,0.3333333333333144,0.2727272727272727,0.09090909090909094,0.0,0.0,0.0,0.0,0.0,1.0,0
54,0.00026354249023694866,0.0,0.02551434296046523,0,0.5555555555555429,0.4545454545454545,0.7272727272727272,0.5471226021684737,0.8440000000000001,0.78,0.5515320334261838,0.168,0.9329999999999999,0
55,0.4033637605117516,0.0,0.20804378634608808,0,0.44444444444442865,0.0,0.6363636363636364,0.5448985265499028,1.0,0.706,0.5571030640668524,0.19,0.929,0
58,0.031433431562806965,0.0,0.2601964521331183,1,0.11111111111111427,0.36363636363636365,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0
61,0.1571431994058315,0.0,0.055353564970923134,0,0.5555555555555429,0.9999999999999999,0.7272727272727272,0.22435362802335282,0.9640000000000001,0.329,0.0,0.0,0.9329999999999999,1
62,0.6649177028678215,0.0,0.3400478913160338,1,0.8888888888888857,0.2727272727272727,0.4545454545454546,0.5448985265499028,1.0,0.706,0.5571030640668524,0.19,0.929,1
63,0.0004791681640671794,0.0,0.015706396911498804,1,1.0,0.8181818181818182,0.5454545454545455,0.5732554906866834,0.728,0.851,0.0,0.0,0.0,0
